scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
1,0,0.8333,0.0406,0.0507,0.8735,1.0023,1.1813,1
2,0,0.7733,0.0267,0.0370,0.8070,0.9918,1.4221,1
3,0,0.7693,0.0247,0.0361,0.8200,0.9678,1.4815,1
4,0,0.8220,0.0414,0.0475,0.8453,0.9915,1.2711,1
5,0,0.7644,0.0224,0.0351,0.7939,0.9814,1.5334,1
6,0,0.8220,0.0414,0.0475,0.8706,0.9939,1.2751,1
7,0,0.8308,0.0407,0.0499,0.8222,0.9914,1.2208,1
8,0,0.8168,0.0418,0.0458,0.8286,0.9952,1.2872,1
9,0,0.7688,0.0245,0.0360,0.8053,0.9875,1.4222,1
10,0,0.7529,0.0149,0.0315,0.7919,1.0130,1.5708,1
11,0,0.7687,0.0244,0.0359,0.7971,0.9683,1.5102,1
12,0,0.7453,0.0104,0.0294,0.7679,0.9190,1.6240,1
13,0,0.7974,0.0370,0.0417,0.8318,1.0052,1.3396,1
14,0,0.7804,0.0300,0.0383,0.8152,1.0039,1.4187,1
15,0,0.8013,0.0382,0.0425,0.8045,1.0301,1.4327,1
16,0,0.7891,0.0337,0.0400,0.8067,0.9859,1.4573,1
17,0,0.8179,0.0418,0.0462,0.8168,1.0471,1.3641,1
18,0,0.8026,0.0386,0.0428,0.8135,0.9878,1.4056,1
19,0,0.7820,0.0308,0.0387,0.8011,1.0189,1.4665,1
20,0,0.7583,0.0187,0.0333,0.7946,1.0184,1.5420,1
21,0,0.8343,0.0406,0.0511,0.7972,1.0320,1.2350,1
22,0,0.7834,0.0314,0.0389,0.8417,0.9823,1.4289,1
23,0,0.7907,0.0343,0.0403,0.8481,1.0030,1.3496,1
24,0,0.8068,0.0400,0.0436,0.8690,0.9952,1.3419,1
25,0,0.7902,0.0341,0.0402,0.8637,1.0067,1.3388,1
26,0,0.8055,0.0396,0.0433,0.8752,0.9919,1.3691,1
27,0,0.8042,0.0391,0.0431,0.8102,1.0091,1.3842,1
28,0,0.8239,0.0412,0.0481,0.8062,1.0292,1.2828,1
29,0,0.7932,0.0354,0.0408,0.8115,0.9904,1.4257,1
30,0,0.7581,0.0186,0.0332,0.8042,0.9561,1.5417,1
31,0,0.8159,0.0419,0.0455,0.7983,1.0308,1.3803,1
32,0,0.8058,0.0397,0.0434,0.8223,0.9957,1.3492,1
33,0,0.7699,0.0250,0.0362,0.8405,0.9911,1.4061,1
34,0,0.8073,0.0401,0.0437,0.8055,1.0000,1.3909,1
35,0,0.8053,0.0395,0.0433,0.8044,1.0281,1.4107,1
36,0,0.8047,0.0393,0.0432,0.8204,0.9933,1.3583,1
37,0,0.8091,0.0407,0.0441,0.8020,1.0329,1.3880,1
38,0,0.7840,0.0316,0.0390,0.8117,0.9904,1.4167,1
39,0,0.7883,0.0334,0.0399,0.8172,0.9912,1.4081,1
40,0,0.8142,0.0418,0.0451,0.8418,0.9930,1.3125,1
41,0,0.7920,0.0349,0.0406,0.8164,1.0392,1.3951,1
42,0,0.7822,0.0309,0.0387,0.8414,0.9861,1.4437,1
43,0,0.7825,0.0310,0.0388,0.8388,0.9805,1.4666,1
44,0,0.8098,0.0409,0.0442,0.8303,1.0073,1.2888,1
45,0,0.7967,0.0367,0.0416,0.8272,1.0074,1.3444,1
46,0,0.8054,0.0395,0.0433,0.8253,0.9979,1.3393,1
47,0,0.7958,0.0364,0.0414,0.8638,1.0075,1.3178,1
48,0,0.8141,0.0418,0.0451,0.8202,0.9910,1.3358,1
49,0,0.7884,0.0334,0.0399,0.8627,1.0061,1.3258,1
50,0,0.8100,0.0410,0.0442,0.8285,1.0010,1.3132,1
51,3,0.8486,0.0667,-0.0076,0.8047,1.1358,1.3402,1
52,3,0.8399,0.0535,-0.0121,0.8497,1.1535,1.5035,1
53,3,0.8542,0.0727,-0.0047,0.8039,1.1331,1.2940,1
54,3,0.8506,0.0688,-0.0066,0.7773,1.1358,1.3807,1
55,3,0.8459,0.0629,-0.0088,0.7576,1.0566,1.4421,1
56,3,0.8377,0.0505,-0.0129,0.7718,1.1257,1.3585,1
57,3,0.8542,0.0727,-0.0047,0.8676,1.1065,1.2421,1
58,3,0.8379,0.0507,-0.0129,0.8202,1.1537,1.6399,1
59,3,0.8380,0.0509,-0.0128,0.8969,1.1201,1.4806,1
60,3,0.8516,0.0698,-0.0061,0.8076,1.1360,1.3403,1
61,3,0.8428,0.0583,-0.0105,0.8343,1.1544,1.5342,1
62,3,0.8405,0.0546,-0.0117,0.8351,1.0782,1.3316,1
63,3,0.8429,0.0585,-0.0104,0.7999,1.1540,1.5188,1
64,3,0.8357,0.0476,-0.0136,0.8206,1.1081,1.6410,1
65,3,0.8460,0.0630,-0.0088,0.7943,1.0608,1.4565,1
66,3,0.8401,0.0538,-0.0120,0.8251,1.0982,1.4536,1
